collinear_features,model,corr_method,threshold,correlation,filteration,samples,n_features,n_informative,label
0,rf,sp,N,0.9240716024144555,N,1000,1000,10,data0
0,dt,sp,N,0.927122586396865,N,1000,1000,10,data0
0,ada,sp,N,0.9865387846417792,N,1000,1000,10,data0
0,rf,sp,N,0.9283990520187606,0.2,1000,1000,10,data0
0,dt,sp,N,0.9272626685233292,0.2,1000,1000,10,data0
0,ada,sp,N,0.9874181916984647,0.2,1000,1000,10,data0
0,rf,sp,0.7,0.9240716024144555,N,1000,1000,10,data0
0,dt,sp,0.7,0.927122586396865,N,1000,1000,10,data0
0,ada,sp,0.7,0.9865387846417792,N,1000,1000,10,data0
0,rf,sp,0.7,0.9283990520187606,0.2,1000,1000,10,data0
0,dt,sp,0.7,0.9272626685233292,0.2,1000,1000,10,data0
0,ada,sp,0.7,0.9874181916984647,0.2,1000,1000,10,data0
0,rf,sp,0.9,0.9240716024144555,N,1000,1000,10,data0
0,dt,sp,0.9,0.927122586396865,N,1000,1000,10,data0
0,ada,sp,0.9,0.9865387846417792,N,1000,1000,10,data0
0,rf,sp,0.9,0.9283990520187606,0.2,1000,1000,10,data0
0,dt,sp,0.9,0.9272626685233292,0.2,1000,1000,10,data0
0,ada,sp,0.9,0.9874181916984647,0.2,1000,1000,10,data0
28,rf,sp,N,0.5359028667412468,N,1000,1000,10,data0
28,dt,sp,N,0.5292094014495722,N,1000,1000,10,data0
28,ada,sp,N,0.624539375557277,N,1000,1000,10,data0
28,rf,sp,N,0.5392460554196429,0.2,1000,1000,10,data0
28,dt,sp,N,0.5291518927590476,0.2,1000,1000,10,data0
28,ada,sp,N,0.6274320066683987,0.2,1000,1000,10,data0
28,rf,sp,0.7,0.930296398969614,N,1000,1000,10,data0
28,dt,sp,0.7,0.937003199722666,N,1000,1000,10,data0
28,ada,sp,0.7,0.9815579589677799,N,1000,1000,10,data0
28,rf,sp,0.7,0.9346765752067876,0.2,1000,1000,10,data0
